"","BA.5","BA.4","BA.4.1","BA.5.1","BA.5.1.1","BA.5.1.10","BA.5.1.22","BA.5.1.23","BA.5.1.30","BA.5.2","BA.5.2.1","BA.5.2.20","BA.5.2.9","BA.5.5","BA.5.6","BE.1","BE.1.1","BE.3","BF.10","BF.26","BF.5","CHN_BA524849","BF.7","BQ.1","BQ.1.1","BA.4.6","CHN_BF714"
"BA.5",NA,0,0,0,0,0,0,0,9.99200722162641e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81048065428513e-09,0,9.45861389212155e-10
"BA.4",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16735553948411e-08,0,0.0010691059981065
"BA.4.1",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15307771611606e-11,8.88178419700125e-16,0,9.76996261670138e-15
"BA.5.1",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66071625737641e-13,0,8.61028028875666e-08
"BA.5.1.1",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69988500842555e-13,8.79894601624187e-10,0,1.77307057924736e-11
"BA.5.1.10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41262582029367e-11,6.55789000880702e-09,0,6.95580950615948e-07
"BA.5.1.22",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1.77635683940025e-15,0,0,0,0,0,0,2.02938159610255e-07,0,0.000317980418883312
"BA.5.1.23",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08801856413265e-14,6.30361540743252e-10,0,3.66473948965051e-08
"BA.5.1.30",9.99200722162641e-15,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92663720719611e-12,0,0,2.1014301410105e-12
"BA.5.2",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44089209850063e-16
"BA.5.2.1",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28785870856518e-14,0,1.69993774612465e-08
"BA.5.2.20",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,4.44089209850063e-16,0,8.88178419700125e-16,0,0,0,0,0,7.08356847045621e-06,1.35447209004269e-14,0,7.24775794935795e-12
"BA.5.2.9",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,2.12190512272059e-06,9.89192767475444e-07,0,0.000198894264765714
"BA.5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1.09487974242484e-11,0,3.74459272478589e-08
"BA.5.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,5.55111512312578e-15,1.78530967787083e-10,0,5.38534106198085e-10
"BE.1",0,0,0,0,0,0,0,0,0,0,0,4.44089209850063e-16,0,0,0,NA,0,0,0,0,0,0,0,1.33022481918488e-11,1.09873141695971e-08,0,5.77315972805081e-15
"BE.1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,7.49393191945558e-09
"BE.3",0,0,0,0,0,0,1.77635683940025e-15,0,0,0,0,8.88178419700125e-16,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2.7746471786827e-10
"BF.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"BF.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,7.09232450546438e-09,4.92028194889471e-05,0,0.00023898927858057
"BF.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.43929354282591e-15,2.22895035761894e-11,0,2.27668903596268e-06
"CHN_BA524849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1.05870867628255e-11,0,0
"BF.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4.44089209850063e-16,0,0,4.52920012605773e-09
"BQ.1",0,0,2.15307771611606e-11,0,5.69988500842555e-13,4.41262582029367e-11,0,1.08801856413265e-14,8.92663720719611e-12,0,0,7.08356847045621e-06,2.12190512272059e-06,0,5.55111512312578e-15,1.33022481918488e-11,0,0,0,7.09232450546438e-09,6.43929354282591e-15,0,4.44089209850063e-16,NA,0,0,4.62376055665459e-07
"BQ.1.1",1.81048065428513e-09,2.16735553948411e-08,8.88178419700125e-16,4.66071625737641e-13,8.79894601624187e-10,6.55789000880702e-09,2.02938159610255e-07,6.30361540743252e-10,0,0,1.28785870856518e-14,1.35447209004269e-14,9.89192767475444e-07,1.09487974242484e-11,1.78530967787083e-10,1.09873141695971e-08,0,0,0,4.92028194889471e-05,2.22895035761894e-11,1.05870867628255e-11,0,0,NA,0,4.0778491694482e-12
"BA.4.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4.44089209850063e-16
"CHN_BF714",9.45861389212155e-10,0.0010691059981065,9.76996261670138e-15,8.61028028875666e-08,1.77307057924736e-11,6.95580950615948e-07,0.000317980418883312,3.66473948965051e-08,2.1014301410105e-12,4.44089209850063e-16,1.69993774612465e-08,7.24775794935795e-12,0.000198894264765714,3.74459272478589e-08,5.38534106198085e-10,5.77315972805081e-15,7.49393191945558e-09,2.7746471786827e-10,0,0.00023898927858057,2.27668903596268e-06,0,4.52920012605773e-09,4.62376055665459e-07,4.0778491694482e-12,4.44089209850063e-16,NA
